[INFO ][2017-09-18 09:07:11,652][AbstractRegistry:302]  [DUBBO] Register: dubbo://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.OverdueNoticeExceptionDtoServiceCustomer?anyhost=true&application=platform-sysManager&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.OverdueNoticeExceptionDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831644, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,665][AbstractRegistry:325]  [DUBBO] Subscribe: provider://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.OverdueNoticeExceptionDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.OverdueNoticeExceptionDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831644, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,674][AbstractRegistry:422]  [DUBBO] Notify urls for subscribe url provider://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.OverdueNoticeExceptionDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.OverdueNoticeExceptionDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831644, urls: [empty://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.OverdueNoticeExceptionDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.OverdueNoticeExceptionDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831644], dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,675][ServiceBean:108]  [DUBBO] The service ready on spring started. service: com.xinleju.platform.flow.dto.service.OverdueFlDtoServiceCustomer, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,680][ServiceConfig:518]  [DUBBO] Export dubbo service com.xinleju.platform.flow.dto.service.OverdueFlDtoServiceCustomer to local registry, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,680][ServiceConfig:474]  [DUBBO] Export dubbo service com.xinleju.platform.flow.dto.service.OverdueFlDtoServiceCustomer to url dubbo://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.OverdueFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.OverdueFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831677, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,680][ServiceConfig:485]  [DUBBO] Register dubbo service com.xinleju.platform.flow.dto.service.OverdueFlDtoServiceCustomer url dubbo://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.OverdueFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.OverdueFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831677 to registry registry://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=platform-sysManager&dubbo=2.8.4&pid=11948&registry=zookeeper&timestamp=1505696831677, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,680][AbstractRegistry:302]  [DUBBO] Register: dubbo://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.OverdueFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.OverdueFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831677, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,688][AbstractRegistry:325]  [DUBBO] Subscribe: provider://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.OverdueFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.OverdueFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831677, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,695][AbstractRegistry:422]  [DUBBO] Notify urls for subscribe url provider://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.OverdueFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.OverdueFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831677, urls: [empty://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.OverdueFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.OverdueFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831677], dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,696][ServiceBean:108]  [DUBBO] The service ready on spring started. service: com.xinleju.platform.flow.dto.service.AgentDtoServiceCustomer, dubbo version: 2.8.4, current host: 10.211.55.3
